delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,Number
3383,16655,85853,23204,12102,6185,5644,1392,F
6454,15400,31960,31084,7985,4108,1031,653,F
4109,3354,30069,65716,7683,7376,1316,460,F
1346,24921,65923,14543,8182,7889,1890,2791,F
20885,19589,14654,215495,19723,8476,4635,1317,F
273158,31697,7965,11710,2393,3653,1425,2613,F
8104,16968,2608,128386,13207,9418,2034,845,F
25841,13541,12611,52128,15167,9932,2812,2391,F
78099,73366,31644,352470,13263,8650,3494,2364,F
7431,13970,14008,175466,24925,9210,3268,1085,F
398975,30868,82028,15834,12945,6334,2791,2112,F
4679,14799,88898,140440,6628,10186,2273,765,F
201061,84364,150646,87270,12295,8191,3281,1036,F
410001,21835,162444,52845,9536,10559,1989,1144,F
25027,19177,101714,31908,6279,16440,4826,976,F
19924,26897,29312,33232,12523,6467,3563,1572,F
16307,11633,111082,86042,20321,4419,1846,3043,F
16300,13123,66571,249128,5605,7185,2764,756,F
11762,32072,10795,10041,11337,4458,3567,2366,F
376002,87212,118567,27377,6873,14351,2445,2680,F
10301,8592,11754,17596,9975,5266,6934,1453,F
12079,11619,216325,97299,8095,6320,5816,1039,F
3646,21946,217323,84640,11872,7608,2731,1458,F
29282,30717,77812,67694,8450,3571,1674,2143,B
6378,7363,12348,131829,16015,4930,990,221,B
2131,27941,20539,86743,4098,5539,2530,772,B
15781,29247,137344,163039,12030,2973,2125,821,B
21198,25246,12718,258161,10037,8540,2488,2785,B
65510,23589,15274,122657,8529,4629,3017,2850,B
29211,12469,83431,32050,8390,3690,4629,3354,B
7218,20087,29249,125638,10611,8073,1706,2136,B
13204,24650,18347,218169,12250,6069,2147,779,B
95469,92163,25709,206717,11396,3695,1808,978,B
9883,14664,97635,41298,18265,10019,3067,1060,B
7535,10984,202330,13300,18892,6142,1550,1624,B
23303,14589,370921,76535,4447,9009,4898,2141,B
12229,27013,74636,27270,10043,5913,1036,729,B
2097,20665,10089,192779,9723,6341,1094,2336,B
16348,22797,77949,18443,13490,5904,774,523,B
10054,9218,72625,86540,11604,5645,1643,1015,B
14917,12730,35583,59105,5485,12102,2012,654,B
7872,16674,119236,68078,29246,3341,2354,979,B
6142,19587,31228,14524,4200,4371,2425,794,B
8011,13052,16664,16038,12879,11038,1921,1231,B
7881,8660,88534,45859,7036,2172,1521,1042,B
265148,156888,78644,226058,6464,6910,1007,1269,B
