attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,Value
51,34,274919,108129,3187,112128,35132,56133,64323,54672,F
60,41,1155742,298511,32741,168832,162268,55383,9325,5582,F
63,63,1810864,83544,72724,62151,31737,15119,20655,2580,F
67,64,1327963,311163,47495,42257,45846,35096,5869,3870,F
50,63,2836814,323357,14909,27833,18238,7136,2730,3590,F
38,37,1715039,516366,13377,6149,14753,13504,5636,13552,F
26,3,92256,48237,2277,824,665,862,371,527,F
8,1,795159,275675,21393,4925,5425,2954,1857,2171,F
8,1,713609,130978,12808,39865,28545,45841,5763,1348,F
8,1,802501,561178,60138,15584,30108,10376,9957,16009,F
3,8,1133525,615981,44559,4359,26761,9451,8381,10657,F
1,13,473026,372445,9476,21911,4957,4035,2005,1358,F
1,14,2127518,433503,37926,5238,18988,5794,5956,10287,F
7,16,473401,186015,24322,7769,20438,7517,5553,5224,F
16,41,796775,109032,21255,55814,12608,9169,1735,1540,F
34,53,638733,204512,53706,2949,5648,18989,2692,3953,F
35,64,433415,208356,41535,13750,9698,4917,9306,6897,F
50,81,454406,22743,19585,10242,18171,9586,7985,8076,F
57,63,1496217,141205,17609,12886,73032,23573,10952,5144,F
77,66,999148,66631,27364,4874,27015,12490,4703,8035,F
60,64,1692731,150880,31098,58389,13801,6398,5280,10841,F
51,81,45334,213778,32810,90981,7028,13959,6040,4496,F
51,100,63759,2956,1435,2892,315,819,278,397,F
50,100,486284,25831,14026,17544,5697,6411,3047,5711,F
53,100,203088,227789,61563,22189,11384,13822,2960,4500,F
53,100,838772,45671,10450,5586,3466,2576,1744,1052,F
54,77,1123398,74030,4522,9058,6925,9366,2868,2825,F
60,84,32290,32292,46436,7628,8122,5991,3217,3455,F
67,80,507096,54186,8187,7583,6844,8971,2362,4264,F
56,87,392905,52193,8751,5145,901,1696,1410,764,F
48,96,272929,47974,56517,7988,7216,5123,1848,1751,F
48,94,261295,14063,15463,6141,4597,2468,1076,1514,F
51,100,37599,25902,3861,11272,3789,8454,4019,3484,F
67,97,30069,34392,7122,2795,5502,8017,5442,4741,F
69,81,221438,105577,10937,19618,5833,7472,2598,7150,F
66,87,15001,5438,22269,15394,11889,5162,2209,4980,F
69,88,124774,84402,22026,9969,5764,13375,1507,5874,F
69,61,669880,181689,4320,10970,20037,15485,6415,3764,F
75,41,62877,28732,3612,11080,19424,10625,6864,2749,F
78,48,24248,10903,5159,9199,5301,4453,3546,2413,F
77,38,124068,23579,2286,1095,1102,2783,1835,883,F
80,64,74812,26512,7442,21974,6717,5930,5206,1321,F
75,69,29111,15172,6983,6668,10212,4526,3254,4360,F
70,75,11384,11110,12189,11743,5941,4524,1808,5665,F
70,88,10042,36885,9698,10632,6103,5292,1571,5907,F
75,88,7967,26390,14482,16879,6692,8636,1842,1770,F
77,91,45538,10873,7433,10668,9105,5792,4324,6165,F
74,97,29784,16305,26180,67938,4115,9920,6350,3407,F
75,100,17068,8413,32265,20692,7880,8402,5057,5107,F
70,100,10961,14475,5985,33290,3610,6131,5008,3800,F
67,100,22554,32643,14386,41517,6493,10066,3203,2553,F
83,97,22975,8959,8870,12571,7416,13338,4648,5592,F
70,83,31437,43324,8461,10441,11147,2601,1143,2289,F
77,80,29996,10090,15470,13740,7427,7395,4942,2854,F
78,74,42355,27630,4546,16513,1722,6536,3290,3220,F
70,77,15851,9431,16127,4408,5086,6175,2648,1124,F
93,77,43733,12069,2475,5554,5793,8321,4878,3032,F
84,69,35759,38958,15440,12427,4829,5519,2162,1737,F
81,70,9686,21539,12682,13855,6951,3889,6411,1843,F
60,63,849461,377024,70618,102543,16595,10109,21533,56860,F
48,47,238711,109450,17666,8638,17079,12023,3000,1509,B
61,38,193562,52757,5593,4282,5820,4965,792,829,B
20,21,356385,121258,2707,12440,3137,2345,2182,475,B
14,16,580899,599665,80521,40608,45711,22505,9256,1995,B
20,30,86550,20478,14904,14832,12962,4483,4719,3967,B
16,41,94124,64221,30128,12837,12952,4825,2581,3339,B
64,87,31842,26392,11821,32506,1377,9192,4499,1051,B
64,83,21964,32407,8643,14262,5722,4972,2554,2223,B
100,80,63019,18336,14727,18586,4180,10048,1683,1091,B
96,80,14516,35742,13136,12690,5458,4850,1348,1375,B
83,75,50051,24497,2664,12309,6042,3205,1861,3345,B
75,70,16722,17797,12167,15401,9178,5198,2582,1256,B
87,70,79193,4903,9142,2280,2892,3984,963,2876,B
80,74,41349,30676,15305,11371,4443,3543,2385,1474,B
48,61,60571,30659,12607,8685,2737,4511,2292,838,B
63,69,16364,18328,21034,5132,3229,7209,2456,2600,B
87,67,3794,12738,2979,13603,6571,7477,1054,1479,B
100,74,15367,7019,1681,7533,2163,3673,1830,1375,B
100,66,12406,17586,16659,840,8603,9155,3090,1008,B
93,67,14609,23764,22830,4887,3458,3104,2222,1035,B
61,57,9930,17322,4349,1245,2508,4909,4586,985,B
57,56,111505,74355,59835,17271,8336,7570,3453,730,B
50,70,51867,38760,18719,26344,2698,4736,4659,1974,B
53,87,18142,3096,11181,10592,11119,7084,1856,1810,B
78,81,30302,9285,6694,6012,4623,5001,1373,643,B
83,75,5534,30756,1539,15033,2809,3808,2976,1607,B
70,67,73944,33911,18159,4637,3430,5838,1634,759,B
67,69,219831,20565,34345,12540,3725,6942,2258,2372,B
70,77,20415,6538,8161,16438,3995,9278,1301,1011,B
100,75,12181,7645,768,8082,5316,5978,3772,1055,B
100,67,29161,15140,6715,11424,5352,5694,5673,1133,B
94,60,13206,26757,7537,9032,5268,3739,1566,1933,B
84,61,2915,8414,1538,8763,5822,3032,4428,1124,B
81,66,20429,4596,7611,4177,7184,3892,4044,4660,B
84,66,14708,11519,2784,9650,5127,4112,2273,1686,B
88,87,5994,5175,5710,24481,1650,2245,1897,1034,B
88,78,10059,15942,4472,6079,3896,7415,3329,1737,B
78,77,37263,19400,12519,3221,5903,7451,3883,759,B
69,67,27571,31071,4203,7899,4641,5596,4622,984,B
61,63,19958,39484,5522,8346,2827,6021,4256,1365,B
56,66,13439,7405,8184,9153,2815,2627,6973,1041,B
66,54,4012,15995,5279,3274,4605,2870,1734,1318,B
77,66,51706,6683,9446,12946,7960,7383,1623,3644,B
100,69,9175,8882,2074,10427,4169,13780,3570,1427,B
100,75,53496,12059,6484,19672,12470,11789,5794,1417,B
94,61,16435,39849,8321,4970,5985,5771,1881,1699,B
67,70,20260,13039,2212,56780,2993,1997,3260,1107,B
47,83,5492,14318,4169,29983,3088,4809,4673,4493,B
37,91,8321,8483,21290,7229,4102,4651,3912,5592,B
50,94,41191,9433,4954,5171,6063,7495,2764,6500,B
61,83,14362,18048,17449,3714,4254,2961,1823,5852,B
